loss,accuracy,val_loss,val_accuracy
0.27630600333213806,0.8860848546028137,0.16973483562469482,0.930732786655426
0.12122900784015656,0.9554652571678162,0.1755395531654358,0.9281808137893677
0.06273732334375381,0.9773420095443726,0.22521589696407318,0.9305505156517029
0.02574440836906433,0.9917181134223938,0.29463517665863037,0.9274516701698303
0.010540195740759373,0.9967184662818909,0.3674410879611969,0.923441469669342
0.0034382985904812813,0.9993749260902405,0.5535383820533752,0.9139628410339355
0.003768207272514701,0.9984374046325684,0.466064453125,0.9223477840423584
0.006849762052297592,0.997577965259552,0.4733055830001831,0.9132336974143982
0.0059883431531488895,0.9977341890335083,0.522248387336731,0.9141451120376587
0.005617192480713129,0.9982811212539673,0.5396945476531982,0.9161502122879028
0.0033283857628703117,0.9990624189376831,0.5441524982452393,0.9192489981651306
0.00039526488399133086,1.0,0.6734932661056519,0.9141451120376587
5.8831476053455845e-05,1.0,0.7220345139503479,0.9159679412841797
2.0587660401361063e-05,1.0,0.74913489818573,0.9161502122879028
1.3660278455063235e-05,1.0,0.7719854116439819,0.9166970252990723
9.797990060178563e-06,1.0,0.7916684746742249,0.9170616269111633
7.302788617380429e-06,1.0,0.8104246854782104,0.9172438979148865
5.575383511313703e-06,1.0,0.8277967572212219,0.9172438979148865
4.32929300586693e-06,1.0,0.8444932699203491,0.9170616269111633
3.408354132261593e-06,1.0,0.8602075576782227,0.9168793559074402
